# BEEF ########################################################################################################################
# BEEF This line shows the Bayesian error estimations and the current threshold criterion.
# BEEF 
# BEEF nstep ............ MD time step or input structure counter
# BEEF bee_energy ....... BEE of energy per atom (eV atom^-1)
# BEEF bee_max_force .... BEE of forces (max) (eV Angst^-1)
# BEEF bee_ave_force .... BEE of forces (average) (kB)
# BEEF threshold ........ Current value of threshold criterion (eV Angst^-1)
# BEEF bee_max_stress ... BEE of stresses (max) (kB)
# BEEF bee_ave_stress ... BEE of stresses (average) (kB)
# BEEF ########################################################################################################################
# BEEF              nstep       bee_energy    bee_max_force    bee_ave_force        threshold   bee_max_stress   bee_ave_stress
# BEEF                  2                3                4                5                6                7                8
# BEEF ########################################################################################################################
BEEF                    1   1.00000000E-06   3.46410162E-02   2.00000000E-02   2.00000000E-03   0.00000000E+00   0.00000000E+00
BEEF                    2   1.85705314E-06   1.40325410E-02   6.08338710E-03   2.00000000E-03   4.55779897E-01   3.43755707E-01
BEEF                    3   2.21108139E-06   4.12474717E-03   2.07421603E-03   2.00000000E-03   7.73101431E-02   5.54601638E-02
BEEF                    4   4.12195466E-06   6.00524833E-03   2.99038637E-03   2.00000000E-03   1.04659488E-01   8.33159730E-02
BEEF                    5   6.53045934E-06   8.32097706E-03   4.07973229E-03   2.00000000E-03   1.60964269E-01   1.19360597E-01
BEEF                    6   8.35116131E-06   1.00272642E-02   4.93350234E-03   2.00000000E-03   2.10307393E-01   1.48516267E-01
BEEF                    7   9.14840959E-06   1.01228306E-02   5.08062311E-03   2.00000000E-03   2.29969986E-01   1.57590647E-01
BEEF                    8   9.97669335E-06   1.04611381E-02   5.27819353E-03   2.00000000E-03   2.44655349E-01   1.68141358E-01
BEEF                    9   1.14725822E-05   1.14031067E-02   5.75610903E-03   2.00000000E-03   2.70269128E-01   1.90553163E-01
BEEF                   10   1.23144025E-05   1.17410074E-02   5.97773290E-03   2.00000000E-03   2.91948610E-01   2.04507230E-01
BEEF                   11   1.66919612E-05   1.46872727E-02   7.52865505E-03   1.00926133E-02   3.84464699E-01   2.72436140E-01
BEEF                   12   1.73566592E-05   1.55903624E-02   7.91165163E-03   1.00926133E-02   4.77505824E-01   3.39642523E-01
BEEF                   13   1.84242253E-05   1.65900534E-02   8.22610133E-03   1.00926133E-02   6.04026872E-01   4.23654422E-01
BEEF                   14   1.95301994E-05   1.69381565E-02   8.31537057E-03   1.00926133E-02   7.01298055E-01   4.80961365E-01
BEEF                   15   2.07308741E-05   1.69576674E-02   8.32482602E-03   1.00926133E-02   7.78164876E-01   5.27930260E-01
BEEF                   16   2.17419863E-05   1.65240133E-02   8.22786055E-03   1.00926133E-02   8.28241237E-01   5.52022069E-01
BEEF                   17   2.27141008E-05   1.66539888E-02   8.21912103E-03   1.00926133E-02   8.71297450E-01   5.77795221E-01
BEEF                   18   2.38062808E-05   1.69137631E-02   8.19236012E-03   1.00926133E-02   9.09060079E-01   6.05985346E-01
BEEF                   19   2.52460191E-05   1.76674840E-02   8.26205458E-03   1.00926133E-02   9.66339452E-01   6.52820590E-01
BEEF                   20   2.70228515E-05   1.83067164E-02   8.41979933E-03   1.00926133E-02   1.03926555E+00   7.11855590E-01
BEEF                   21   2.47588146E-05   1.26807779E-02   6.35125351E-03   9.95743703E-03   6.11308971E-01   4.33571996E-01
BEEF                   22   2.58969773E-05   1.32800475E-02   6.58530223E-03   9.95743703E-03   6.67202722E-01   4.70052916E-01
BEEF                   23   2.70501814E-05   1.40096768E-02   6.91066901E-03   9.95743703E-03   7.32487523E-01   5.07993882E-01
BEEF                   24   2.84153312E-05   1.50187251E-02   7.38550230E-03   9.95743703E-03   8.19219665E-01   5.59796357E-01
BEEF                   25   2.99574906E-05   1.63875106E-02   7.95731798E-03   9.95743703E-03   9.02976754E-01   6.12710015E-01
